Member Group,Email,Website,City,State
WeAreWideAwake.org,ecumei@gmail.com,http:///www.wearewideawake.org,Clermont,FL
PeaceResource.org,editor@writingresource.org,http://Peaceresource.org,Lake Oswego,OR
Palestine Street Action,edwinkrales@hotmail.com,,New York,NY
Students for Justice in Palestine- FAU,ehanne@fau.edu,,Coral Springs,FL
Congregation of St. Joseph's- Cleveland,elavelle@csjoseph.org,,Cleveland,OH
Mid-Missourians for Justice in Palestine,eljayyousij@yahoo.com,https://www.facebook.com/Mid-Missourians-for-Justice-in-Palestine-819280804846984/,Columbia,MO
Palestine Online Store,elzabri@gmail.com,http://www.palestineonlinestore.com,Austin,TX
American Friends Service Committee- Indiana,epolley@afsc.org,https://www.afsc.org/indianapolis,Indianapolis,IN
Tree of Life Educational Fund,fccol@snet.net,http://www.tolef.org/,Old Lyme,CT
Lutherans for Justice in the Holy Land,feldmanvi@gmail.com,http://www.centralportland.org/ljhl,Portland,OR
Hilton Head for Peace,fintaylor@hargray.com,,Hilton Head,SC
CODEPINK Arizona,Flagstaffliz@gmail.com,,Phoenix,AZ
Friends of Deir Ibzi'a,friends@deiribzia.com,http://www.deiribzia.org/,Berkeley,CA
Friends of Sabeel - North America,friends@fosna.org,http://www.fosna.org,Portland,OR
Occupy Savannah,fsioab@yahoo.com,https://www.facebook.com/OccupySavannah,Savannah,GA
Georgia Peace and Justice Coalition,georgiapeaceatl@gmail.com,http://www.georgiapeace.org,Atlanta,GA
Lutheran Peace Group,glenthamert@yahoo.com,,Jemez Springs,NM
The Palestine Freedom Project,greenhouse@palestinefreedom.org,http://www.palestinefreedom.org,White Plains,NY
BDS-LA for Justice in Palestine,grok77@gmail.com,http://www.bds-la.org/,Los Angeles,CA
Squadron 13- Eugene,gs@veteransagainsttorture.com,http://www.Squadron13.com,Eugene,OR
Israel Palestine Mission Network- Presbyterian Church (U.S.A.),hannibal76@gmail.com,http://www.theipmn.org/,Louisville,KY
Al-Nakba Awareness Project,HappyHeartMom@comcast.net,http://www.al-nakba-history.com/,Eugene,OR
Friends of Sabeel- Iowa,hawkiiiii@hotmail.com,,Mt. Pleasant,IA
Helena Service for Peace and Justice,HelenaSERPAJ@gmail.com,,Helena,MT
Palestine-Israel Action Group,hfox@umich.edu,http://quakerpiag.blogspot.com/,Ann Arbor,MI
Home for Peace and Justice,HomeforPax@aol.com,,Saginaw,MI
Adalah-NY: Campaign for the Boycott of Israel,info@adalahny.org,https://adalahny.org/,New York City,NY
American Jews For A Just Peace- Boston,info@ajjpboston.org,http://www.ajjpboston.org,Brookline,MA
American Muslims for Palestine,info@ampalestine.org,http://www.ampalestine.org/,Bridgeview,IL
Americans United for Palestinian Human Rights,info@auphr.org,http://www.auphr.org,Portland,OR
Buddhist Alliance for Non-Violence and Human Rights in Israel-Palestine,info@banvahr.org,https://banvahr.org/,Portland,ME
Bay Area Women in Black,info@bayareawomeninblack.org,http://www.bayareawomeninblack.org,Oakland,CA
Birthright Unplugged,info@birthrightunplugged.org,http://birthrightunplugged.org/,Oakland,CA
Carolina Peace Resource Center,info@carolinapeace.org,http://www.carolinapeace.org,Columbia,SC
Catholic Peace Fellowship - Philadelphia,info@cpfphila.org,,Philadelphia,PA
The Episcopal Diocese of Olympia: Bishop's Committee for Justice,info@ecww.org,http://www.ecww.org/,Seattle,WA
Faculty for Israeli-Palestinian Peace,info@ffipp.org,http://www.ffipp.org,Amherst,MA
Grassroots International,info@grassrootsonline.org,http://www.grassrootsonline.org,Boston,MA
Houston Peace and Justice Center,info@hpjc.org,http://www.hpjc.org/,Houston,TX
Israeli Committee Against House Demolitions-USA,info@icahdusa.org,http://www.icahdusa.org,New York,NY
Jewish Voice for Peace- National,info@jewishvoiceforpeace.org,http://www.jewishvoiceforpeace.org,Berkeley,CA
Joining Hands for Justice in Israel/Palestine,info@jhjip.org,https://jhjip.org/,Atlanta,GA
United for Justice with Peace- Palestine Task Force,info@justicewithpeace.org,http://justicewithpeace.org/palestine-israel,Cambridge,MA
Jewish Voice for Peace- Chicago,info@jvpchicago.org,http://www.jvpchicago.org/,Evanston,IL
Jewish Voice for Peace- DC Metro,info@jvpdc.org,https://www.jvpdc.org/,Silver Spring,MD
United Methodist Kairos Response,info@kairosresponse.org,https://www.kairosresponse.org/,Warwick,RI
Labor for Palestine,info@laborforpalestine.net,http://laborforpalestine.net/,Brooklyn,NY
LA Jews for Peace,info@LAJewsforPeace.org,http://www.LAJewsforPeace.org,Los Angeles,CA
Council on American-Islamic Relations- Greater-Los Angeles Chapt,info@losangeles.cair.com,http://ca.cair.com/losangeles/,Anaheim,CA
Northfielders for Justice in Palestine/Israel,info@njpmn.org,,Northfield,MN
New Orleans Palestinian Solidarity Committee,info@nolapsc.org,https://www.nolapsc.org/en/,New Orleans,LA
Nonviolence International,info@nonviolenceinternational.net,http://www.nonviolenceinternational.net,Washington,DC
Palestinian American Community Center,info@paccusa.org,www.paccusa.org,Clifton,NJ
Palestine/Israel Justice Project of the MN Annual Conference,Info@palestine-israeljusticeproject.org,http://palestine-israeljusticeproject.org/,Paynesville,MN
Palestine Solidarity Committee- Seattle,info@palestineinformation.org,http://www.palestineinformation.org,Seattle,WA
Pax Christi Metro DC-Baltimore,info@paxchristimetrodc.org,www.paxchristimetrodc.org,Washington,DC
Pax Christi USA: National Catholic Peace Movement,info@paxchristiusa.org,http://www.paxchristiusa.org,Washington,DC
Peace Action Montgomery County,info@PeaceActionMC.org,http://www.PeaceActionMC.org,Olney,MD
Queers Undermining Israeli Terrorism (QUIT!),info@quitpalestine.org,http://www.quitpalestine.org/,San Francisco,CA
Rachel Corrie Foundation for Peace and Justice,info@rachelcorriefoundation.org,http://www.rachelcorriefoundation.org/,Olympia,WA
San Diego Coalition for Peace and Justice,info@sdcpj.org,http://www.sdcpj.org/,San Diego,CA
National Committee of Solidarity,info@solidarity-us.org,http://www.solidarity-us.org/,Detroit,MI
St. Louis Palestine Solidarity Committee,info@stl-psc.org,http://www.stl-psc.org/,St. Louis,MO
Seattle Mideast Awareness Campaign SeaMAC,info@stop30billion-seattle.org,http://www.seamac.org/about.htm,Seattle,WA
Students United for Palestinian Equal Rights-UW,info@superuw.org,http://superuw.org/,Seattle,WA
The Jerusalem Fund,info@thejerusalemfund.org,http://www.palestinecenter.org,Washington,DC
United Methodists' Holy Land Task Force,info@umhltf.org,http://www.umhltf.org,Culver City,CA
War Times,info@war-times.org,http://www.war-times.org,Oakland,CA
World Citizens for Peace,info@wcpeace.org,http://wcpeace.org/home.htm,Richland,WA
CODEPINK Taos,innerlight52@hotmail.com,,Arroyo Hondo,NM
Justice For Palestinians,j4p.houston@gmail.com,http://www.justiceforpalestinians.com/,Houston,TX
Students for Justice in Palestine- UVM,jack.steele@uvm.edu,,Burlington,VT
Keep Hope Alive,janderson.stjohns@gmail.com,http://www.togetherweserve.org/keep-hope-alive/,San Anselmo,CA
American Friends Service Committee- Midwest,jbing@afsc.org,http://afsc.org/program/chicago-middle-east-program,Chicago,IL
Women's International League for Peace & Freedom- Boulder Branch,jeangore@comcast.net,,Boulder,CO
Global Exchange,jeff@globalexchange.org,http://www.globalexchange.org,San Francisco,CA
Santa Feans for Justice in Palestine,Jeffhhaas@aol.com,,Santa Fe,NM
Friends of Palestine- Wisconsin,jfguinn@earthlink.net,http://friendsofpalestinewisconsin.org/,Germantown,WI
Jews for Palestinian Right of Return,jfpror@gmail.com,https://jfpror.wordpress.com/,Brooklyn,NY
Dorchester People for Peace,jjk123@comcast.net,http://www.dotpeace.org,Dorchester,MA
Minnesota Coalition for Palestinian Rights,jkushner@gmail.com,,Minneapolis,MN
Jews of Color & Sephardi and Mizrahi Jews in Solidarity w/ Palestine,jocsm18@gmail.com,http://jocsm.org/,Oakland,CA
CODEPINK Women for Peace,jodie@codepink.org,codepink.org,Venice,CA
Students for Justice in Palestine at John Jay College,johnjaysjp@gmail.com,,New York,NY
Middle East Justice & Peace Group of South Central Pennsylvania,jpowers0135@earthlink.net,,Gettysburg,PA
"Sisters of St. Joseph of Carondelet, St. Louis Province",justice@csjsl.org,http://www.csjsl.org,St. Louis,MO
People of Faith CT,justice@faithCT.net,http://www.faithct.net,West Hartford,CT
NYU Students for Justice in Palestine,justiceinpalestine.club@nyu.edu,http://nyusjp.wordpress.com/,New York,NY
Coloradans for Justice in Palestine,JustImagine66@netzero.net,http://www.coloradansforjusticeinpalestine.org/,Denver,CO
Jewish Voice for Peace- Boston,jvpboston@gmail.com,http://www.jvp-boston.org/,Newton,MA
Jewish Voice for Peace- Detroit,jvpdetroit@gmail.com,http://www.jewishvoiceforpeace.org/publish/detroit.shtml,Detroit,MI
Pittsburgh Palestine Solidarity Committee,katedaher@yahoo.com,http://www.pittsburgh-psc.org,Pittsburgh,PA
Carlisle Peace College,kemcclanen@yahoo.com,,Sandy Spring,MD
Peace Action,kmartin@peace-action.org,http://peace-action.org/,Silver Spring,MD
Upper Hudson Peace Action,kprehm@aol.com,http://www.peaceact.net,Albany,NY
Fellowship of Reconciliation,kstoneking@forusa.org,http://www.forusa.org/,Nyack,NY
Bay Area Labor Committee for Peace & Justice,labor-for-peace-and-justice@igc.org,,Oakland,CA
Mennonite Palestine Israel Network (MennoPIN),lappj@earthlink.net,https://mennopin.org/,Mount Pleasant,IA
Librarians and Archivists with Palestine,librarians2palestine@gmail.com,librarianswithpalestine.org,Brooklyn,NY
UM Task Force on Peace with Justice in Palestine/Israel,lindagarybergh@gmail.com,http://um-palestine-israel-tf.org/,Syracuse,NY
Peace and Justice Action League of Spokane (PJALS),lmoore@pjals.org,http://pjals.org/,Spokane,WA
Indiana Center for Middle East Peace,lmspath@msn.com,indianacmep.org,Fort Wayne,IN
Jewish Voice for Peace- Los Angeles,LosAngeles@JewishVoiceforPeace.org,,Toluca Lake,CA
Friends of Sabeel - Hawaii,mabrown@hawaiiantel.net,,Honolulu,HI
Merrimack Valley People for Peace,macpanther@mac.com,http://www.merrimackvalleypeopleforpeace.org,Andover,MA
MADRE,madre@madre.org,http://www.madre.org,New York,NY
Middle East Crisis Committee,mail@thestruggle.org,http://www.thestruggle.org,Woodbridge,CT
International Women's Peace Service,marie@iwps-pal.org,http://iwps.info,Spring Hill,FL
Louisville Committee for Israeli/Palestinian States,marmionlvl@yahoo.com,,Louisville,KY
MidEast: Just Peace,maryheffron@mindspring.com,http://www.mideastjustpeace.org,Cedar,MI
Kairos USA,mbraverman@kairosusa.org,http://www.kairosusa.org/,Portland,OR
Veterans For Peace,mcphearson@veteransforpeace.org,http://www.veteransforpeace.org/,St Louis,MO
Middle East Children's Alliance (MECA),meca@mecaforpeace.org,http://www.mecaforpeace.org/,Berkeley,CA
Middle East Crisis Response,mecr@mideastcrisis.org,http://www.mideastcrisis.org,Shady,NY
Middle East Peace Now,mepn@mepn.org,http://www.mepn.org/mepn.org/Home.html,Bloomington,MN
Meta Peace Team,metapeaceteam@gmail.com,http://www.metapeaceteam.org/,Lansing,MI
Methodist Federation for Social Action,mfsa@mfsaweb.org,http://www.mfsaweb.org/,Washington,DC
United Methodist General Board of Church and Society,mharrison@umc-gbcs.org,http://www.umc-gbcs.org,Washington,DC
Buena Vista United Methodist Church,michaelyoshii1@gmail.com,,Alameda,CA
Evergreen State College SJP,Mideastsolidarity@gmail.com,,Olympia,WA
Veterans For Peace- Rachel Corrie Chapter 109,mills.dennis@comcast.net,http://vfp109rcc.org/,Olympia,WA
Milwaukee Palestine Solidarity Coalition,mkepalestine@gmail.com,,Milwaukee,WI
Maryknoll Office for Global Concerns,mkljsullivan@aol.com,http://maryknollogc.org/,Washington,DC
American Friends Service Committee-Northeast,mmerryman-lotze@afsc.org,http://www.afsc.org,Philadelphia,PA
TransAfrica Forum,mmunthali@transafricaforum.org,http://www.transafricaforum.org/,Washington,DC
Minnesota Break The Bonds Campaign,mn@breakthebonds.org,http://mn.breakthebonds.org/,Watertown,MN
Monterey Peace & Justice Center,montereypeaceandjustice@gmail.com,http://,Seaside,CA
San Antonio for Justice in Palestine,moureen.kaki@yahoo.com,https://www.facebook.com/groups/sajpactivists/,San Antonio,TX
Northern Virginians for Peace and Justice,moyaatk@yahoo.com,http://groups.yahoo.com/group/us-va-nova-peace/,Falls Church,VA
Muslim Students' Association of University of Michigan Ann Arbor,msa-eboard@umich.edu,http://www.muslims.studentorgs.umich.edu/,Ann Arbor,MI
Maine Voices for Palestinian Rights,mvprights@gmail.com,http://www.mvprights.org/,Buxton,ME
Palestine Israel Working Group of Nevada County,ncpeace@sbcglobal.net,http://www.ncpeace.org/palestine-israel-working-group-2/,Grass Valley,CA
Kalamazoo Nonviolent Opponents of War (KNOW),newsFromKnow@gmail.com,http://kzoo4peace.org,Portage,MI
Peace Action Wisconsin,nfo@peaceactionwi.org,http://www.PeaceActionWi.org,Milwaukee,WI
Veterans for Peace- New Hampshire,nhvfp@comcast.net,,Auburn,NH
Palestine Aid Society,nidal.barakat@sbcglobal.net,http://www.palestineaidsociety.org,Van Nuys,CA
North Coast Coalition for Palestine,northcoastforpalestine@gmail.com,http://www.nccpal.org/,Santa Rosa,CA
Northeastern University Students for Justice in Palestine,northeasternsjp@gmail.com,http://www.northeasternsjp.org/,Boston,MA
Boston Coalition for Palestinian Rights,numurray@comcast.net,http://bcprights.org/,Jamaica Plain,MA
New Yorkers Against the Cornell-Technion Partnership (NYACT),nyact@riseup.net,http://againstcornelltechnion.wordpress.com/,New York,NY
Whatcom Peace & Justice Center,office@whatcompjc.org,www.whatcompjc.org,Bellingham,WA
Olympia Rafah Sister City Project,olympiaandrafah@lists.riseup.net,,Olympia,WA
Western Horizons,omarafifeh@gmail.com,,Las Vegas,NV
American-Arab Anti-Discrimination Committee - National,organizing@adc.org,http://www.adc.org,Washington,DC
The Arab American News,osiblani@arabamericannews.com,http://www.arabamericannews.com/news/,Dearborn,MI
Palestine Advocacy Project,outreach@palestineadvocacyproject.org,http://www.palestineadvocacyproject.org/,Cambridge,MA
Western Massachusetts Coalition for Palestine,palestinecoalition@gmail.com,https://www.facebook.com/WMC4P,Northampton,MA
Palestine-Israel Action Committee Resource Center For Nonviolence,palestinejusticecoalition@gmail.com,http://rcnv.org/programs/palestine-israel-action-committee/,Santa Cruz,CA
Palestine Solidarity Committee- University of Texas at Austin,palestinesolidaritycommittee@gmail.com,http://mideastsolidarity.wordpress.com/,Austin,TX
Phoenix Committee for Palestinian and Israeli Human Rights,palestinianisraelihumanrights@gmail.com,,Phoenix,AZ
Palestine Media Project,palmediaproject@gmail.com,http://www.palmediaproject.org,New York,NY
Ecumenical Working Group for Middle East Peace (EWGMEP),pastbob@verizon.net,,Philadelphia,PA
CNY Working for a Just Peace in Palestine and Israel,patcarmeli@hotmail.com,,Cazenovia,NY
Third Coast Activist Resource Center,patyoungblood@earthlink.net,http://www.thirdcoastactivist.org/,Austin,TX
Palestinian Christian Alliance for Peace,paulnoursi@gmail.com,http://pcap-us.org/,Vienna,VA
Pax Christi Long Island,paxchristili@aol.com,http://www.paxchristilongisland.org/,Hicksville,NY
Princeton Committee on Palestine,pcp@princeton.edu,,Princeton,NJ
Peace Action Maine,peaceactionme@peaceactionme.org,http://www.peaceactionme.org,Portland,ME
Peace Education Center of Greater Lansing,peaceedcenter@gmail.com,http://www.peaceedcenter.org/,East Lansing,MI
Middle East Fellowship,peter@middleeastfellowship.org,http://www.middleeastfellowship.org,Severna Park,MD
Palestine-Israel Action Committee Resource Center For Nonviolence,peter@rcnv.org,http://rcnv.org/programs/palestine-israel-action-committee/,Santa Cruz,CA
"Philly BDS: The Philadelphia Coalition for Boycott, Divestment, and Sanctions Against Israel",phillybds@gmail.com,http://www.phillybds.org/,Philadelphia,PA
Bubbes & Zaydes (Grandparents) for Peace in the Middle East,phillyjewishpeace@gmail.com,,Philadelphia,PA
Philadelphia Jews for a Just Peace,phillyjjp@gmail.com,www.phillyjjp.org/,Philadelphia,PA
Sabeel DC Metro,phverduin@gmail.com,www.sabeeldc.org,Silver Spring,MD
Institute for Policy Studies,phyllis@ips-dc.org,http://www.ips-dc.org,Washington,DC
Episcopal Peace Fellowship Palestine-Israel Network,pin@epfnational.org,http://epfnational.org/PIN/,Durham,NC
Purdue Students for Justice in Palestine,purduesjp@gmail.com,http://www.purduesjp.wordpress.com,West Lafayette,IN
Racine Coalition for Peace and Justice,racinepeace@yahoo.com,http://racinepeace.wordpress.com/,Racine,WI
Madison-Rafah Sister City Project,rafahsistercity@yahoo.com,http://madisonrafah.org/,Madison,WI
Green Mountain Solidarity With Palestine,rayd@gmavt.net,https://www.facebook.com/Green-Mountain-Solidarity-With-Palestine-1624676937798592/,Waitsfield,VT
St. Michael's Task Force on Palestine & Israel,rbfadil@gmail.com,http://www.saintmichaelschurch.org/outreach-advocacy/task-force-israel-palestine/,New York,NY
Utahns for a Just Peace in the Holy Land,remillar@allwest.net,http://www.jphl.org,Kamas,UT
Coalition to Stop $30 Billion to Israel,rerickson56@comcast.net,http://stop30billion.com,Albuquerque,NM
"Students for Justice in Palestine, RIC",Rlobban@ric.edu,,Providence,RI
Rocky Mountain Peace and Justice Center,rmpjc@earthlink.net,http://www.rmpjc.org/,Boulder,CO
Richmonders for Peace in Israel-Palestine,rpip.rva@gmail.com,,Richmond,VA
Sacramento Area Peace Action,sacpeace@dcn.org,http://www.sacpeace.org/,Sacramento,CA
Jewish Voice for Peace- Sacramento,sacramento@jvp.org,,Sacramento,CA
Sacramento BDS,sacramentobds@gmail.com,http://sacbds.org/,Sacramento,CA
Students Allied for Freedom and Equality,SAFEboard@umich.edu,http://www.safeumich.com/,Ann Arbor,MI
Committee for Justice in Palestine,santacruzcjp@gmail.com,,Santa Cruz,CA
Oberlin Students for a Free Palestine,sfp.oberlin@gmail.com,http://www.oberlin.edu/stuorg/sfp/,Oberlin,OH
Swarthmore Students for Peace and Justice in Palestine,sfpatswat@gmail.com,http://swarthmorespjp.wordpress.com/,Swarthmore,PA
San Fernando Valley Greens (Green Party),sfvgreens@gmail.com,,West Hills,CA
Students for Justice in Palestine- Rutgers New Brunswick,sjp.rutgersnb@gmail.com,https://www.facebook.com/groups/213539182039247/,New Brunswick,NJ
Students for Justice in Palestine- FIU,sjp@fiu.edu,,Miami,FL
CUNY Law Students for Justice in Palestine,sjp@mail.law.cuny.edu,,Queens,NY
American University SJP,sjpal.au@gmail.com,https://www.facebook.com/AmericanSJP/,Washington,DC
Students for Justice in Palestine- Arizona State University,sjpalestine48@gmail.com,http://www.sjpalestine.com,Phoenix,AZ
Boston College Students for Justice in Palestine,sjpbostoncollege@gmail.com,,Brighton,MA
Students for Justice in Palestine- DePaul University,sjpdepaul@gmail.com,,Chicago,IL
Students for Justice in Palestine- Southern Illinois University,sjpedwardsville@gmail.com,https://www.facebook.com/groups/212445208848447/,Edwardsville,IL
Students for Justice in Palestine at Hunter College,sjphunter@gmail.com,http://www.sjphunter.com/,New York,NY
Students for Justice in Palestine - Loyola University Chicago,sjpluc@gmail.com,,Chicago,IL
Students for Justice in Palestine-Marquette University,sjpmu1@gmail.com,,Milwaukee,WI
Temple Students for Justice in Palestine,sjptemple@gmail.com,http://templesjp.org/,Philadelphia,PA
Students for Justice in Palestine- Tufts University,sjptufts@gmail.com,,Medford,MA
Students for Justice in Palestine at UCLA,sjpucla1@gmail.com,www.sjpbruins.com,Los Angeles,CA
Students for Justice in Palestine- University of South Florida,sjpusf2010@gmail.com,,Tampa,FL
Peace Action of San Mateo County,smpa@sanmateopeaceaction.org,http://www.sanmateopeaceaction.org/,San Mateo,CA
International Solidarity Movement- NorCal Support Group,solidarity@ism-norcal.org,http://www.ism-norcal.org/,El Cerrito,CA
Kairos/Franklin County Justice for Palestine,songline50@aol.com,NA,Ashfield,MA
Sooners for Peace in Palestine,soonerspeace@gmail.com,,Norman,OK
Syracuse Peace Council,spc@peacecouncil.net,http://www.peacecouncil.net/,Syracuse,NY
Students for Peace and Justice in Palestine - Earlham College,spjp@earlham.edu,,Richmond,IN
Binghamton University BDS/SJP,sqazi1@binghamton.edu,http://binghamtonsjp.wordpress.com/,Vestal,NY
Students for Justice in Palestine at College of Staten Island,statenislandsjp@gmail.com,,Staten Island,NY
Jewish Voice for Peace- St Louis,stl@jewishvoiceforpeace.org,https://www.facebook.com/stljvp,St. Louis,MO
Strength Through Peace,strengththroughpeace@yahoo.com,,Fort Collins,CO
North Shore Coalition for Peace and Justice,susantnicholson@comcast.net,,Gloucester,MA
"Jewish Voice for Peace, Tacoma Chapter",tacoma@jewishvoiceforpeace.org,www.jewishvoiceforpeace.org/tacoma,Tacoma,WA
Trans-Arab Research Institute (TARI),tariorg@yahoo.com,http://www.tari.org,North Dartmouth,MA
United Methodist Women,tdwyer@unitedmethodistwomen.org,http://www.unitedmethodistwomen.org/,New York,NY
Committees of Correspondence for Democracy and Socialism,treasurer@cc-ds.org,,Oakland,CA
Washington Interfaith Alliance for Middle East Peace,treasurer@wiamep.org,http://www.wiamep.org,Washington,DC
Spokane Veterans For Peace,treebarkhh@yahoo.com,spokaneveteransforpeace.org,Spokane,WA
Salaam-Shalom,ts.shohfi@gmail.com,,Chapel Hill,NC
U.S. Peace Council,u.s.peacecouncil@gmail.com,http://www.uspeacecouncil.org/,New Haven,CT
Students for Justice in Palestine at UCF,ucfsjp@gmail.com,,Orlando,FL
University of Delaware Students for Justice in Palestine,udelsjp@gmail.com,,Newark,DE
University of New Mexico Students for Justice in Palestine,unmsjp@gmail.com,http://unmsjp.org/,Albuquerque,NM
US Campaign for Academic and Cultural Boycott of Israel,usacbi@usacbi.org,http://www.usacbi.org,Everett,WA
The USA Palestine Mental Health Network,uspalmhn@gmail.com,https://ukpalmhn.com/usa-palestine-mental-health-network/usa-about-us/,Washington,DC
US Palestinian Community Network,uspcn@uspcn.org,http://uspcn.org/,San Francisco,CA
Unitarian Universalists for Justice in the Middle East,uujme@uujme.org,http://www.uujme.org/home/,Cambridge,MA
Corvallis Palestine Solidarity,valori@peak.org,,Corvallis,OR
Historians Against the War,van.gosse@fandm.edu,http://www.historiansagainstwar.org,New York,NY
Veterans For Peace Chapter 69,veteransforpeacesf@gmail.com,http://vfpsf.wordpress.com/,San Francisco,CA
Vermonters for Justice in Palestine,vtjp@vtjp.org,http://www.vtjp.org,Montpelier,VT
Women Against Military Madness,wamm@mtn.org,https://www.womenagainstmilitarymadness.org/,Minneapolis,MN
